tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
458,2019-01-01 00:41:54.6000,2019-01-01 00:49:33.2730,68,96,1628,Subscriber,1977,1
364,2019-01-01 00:43:32.5710,2019-01-01 00:49:37.4260,89,334,2969,Subscriber,1993,1
681,2019-01-01 00:49:56.4640,2019-01-01 01:01:17.7010,73,367,3469,Subscriber,1979,2
549,2019-01-01 00:50:01.0370,2019-01-01 00:59:10.3190,104,76,4050,Customer,1969,0
2531,2019-01-01 01:19:30.5440,2019-01-01 02:01:41.6940,342,58,1534,Customer,1969,0
2511,2019-01-01 01:19:42.1900,2019-01-01 02:01:33.6850,342,58,2504,Customer,1969,0
2377,2019-01-01 01:21:47.1730,2019-01-01 02:01:24.5470,342,58,3442,Customer,1969,0
2346,2019-01-01 01:22:37.2660,2019-01-01 02:01:44.1820,342,58,2845,Customer,1969,0
1060,2019-01-01 01:33:05.0690,2019-01-01 01:50:45.1960,36,41,3478,Subscriber,1998,1
592,2019-01-01 01:33:45.5060,2019-01-01 01:43:38.0140,181,115,3454,Subscriber,1991,1
1381,2019-01-01 01:38:43.8010,2019-01-01 02:01:45.6400,206,12,2756,Customer,1998,1
688,2019-01-01 01:39:55.2280,2019-01-01 01:51:23.8400,342,27,2382,Subscriber,1997,2
553,2019-01-01 01:42:17.8700,2019-01-01 01:51:31.7360,177,19,2706,Customer,1991,1
356,2019-01-01 01:46:26.4100,2019-01-01 01:52:22.6430,89,377,3367,Subscriber,1988,1
246,2019-01-01 01:50:40.6340,2019-01-01 01:54:46.8390,115,71,2456,Subscriber,1991,1
855,2019-01-01 02:09:49.3510,2019-01-01 02:24:04.7730,87,66,3981,Subscriber,1997,1
1269,2019-01-01 02:41:21.6780,2019-01-01 03:02:30.8420,33,90,2419,Customer,1969,0
1219,2019-01-01 02:41:44.7730,2019-01-01 03:02:04.0190,33,90,4144,Customer,1969,0
1063,2019-01-01 03:07:08.6240,2019-01-01 03:24:51.8060,68,21,3398,Subscriber,1982,1
369,2019-01-01 04:20:47.5450,2019-01-01 04:26:56.8890,68,78,4045,Subscriber,1995,1
356,2019-01-01 05:43:15.8450,2019-01-01 05:49:11.9770,74,76,2565,Customer,1969,0
707,2019-01-01 06:22:09.9770,2019-01-01 06:33:57.8370,51,11,3933,Subscriber,1992,1
532,2019-01-01 06:40:00.5340,2019-01-01 06:48:53.4070,27,21,3392,Subscriber,1986,1
975,2019-01-01 06:42:56.9410,2019-01-01 06:59:12.6920,3,51,4094,Subscriber,1987,2
1402,2019-01-01 07:18:26.3600,2019-01-01 07:41:49.2000,71,71,2988,Subscriber,1958,1
1057,2019-01-01 07:26:56.8660,2019-01-01 07:44:33.8760,3,366,2321,Subscriber,1965,1
806,2019-01-01 07:57:35.5730,2019-01-01 08:11:02.4420,88,179,2145,Subscriber,1980,1
1158,2019-01-01 07:58:26.8750,2019-01-01 08:17:45.5040,96,11,4442,Subscriber,1986,1
244,2019-01-01 08:02:50.7160,2019-01-01 08:06:55.5010,145,115,2272,Subscriber,1992,1
919,2019-01-01 08:04:40.9310,2019-01-01 08:20:00.9290,86,16,4465,Subscriber,1985,1
872,2019-01-01 08:20:12.6590,2019-01-01 08:34:45.0810,66,33,3652,Subscriber,1995,1
261,2019-01-01 08:20:28.2800,2019-01-01 08:24:50.2270,116,68,3326,Subscriber,1962,1
571,2019-01-01 08:27:26.8160,2019-01-01 08:36:58.4260,8,68,4026,Subscriber,1991,1
1885,2019-01-01 08:28:33.2320,2019-01-01 08:59:58.8030,345,361,3556,Subscriber,1989,1
681,2019-01-01 08:37:04.5020,2019-01-01 08:48:25.6400,116,143,3586,Subscriber,1993,1
1315,2019-01-01 08:40:22.5770,2019-01-01 09:02:17.7760,88,88,3846,Subscriber,1975,1
933,2019-01-01 08:44:01.8200,2019-01-01 08:59:35.2550,6,88,3063,Subscriber,1991,2
743,2019-01-01 08:46:34.8490,2019-01-01 08:58:58.5360,41,80,2181,Subscriber,1990,2
1880,2019-01-01 08:53:47.7610,2019-01-01 09:25:07.9260,71,27,3040,Subscriber,1987,1
332,2019-01-01 08:55:51.4360,2019-01-01 09:01:24.4020,87,68,4076,Subscriber,1989,2
2494,2019-01-01 09:02:21.7270,2019-01-01 09:43:56.3070,361,361,3556,Subscriber,1989,1
602,2019-01-01 09:03:17.7670,2019-01-01 09:13:20.1370,105,70,3372,Subscriber,1978,2
901,2019-01-01 09:08:21.2950,2019-01-01 09:23:22.9760,88,36,3846,Subscriber,1991,2
1301,2019-01-01 09:16:10.8400,2019-01-01 09:37:52.4880,121,10,2498,Subscriber,1963,1
167,2019-01-01 09:25:30.4070,2019-01-01 09:28:17.9460,116,76,4208,Subscriber,1993,1
659,2019-01-01 09:31:56.8550,2019-01-01 09:42:56.2620,105,88,262,Subscriber,1980,1
714,2019-01-01 09:34:35.5320,2019-01-01 09:46:30.1580,33,226,3373,Subscriber,1999,1
716,2019-01-01 09:34:43.2980,2019-01-01 09:46:39.8190,33,226,2974,Subscriber,1999,1
490,2019-01-01 09:44:07.3140,2019-01-01 09:52:17.9080,139,95,3379,Subscriber,1991,1
3184,2019-01-01 09:45:25.1170,2019-01-01 10:38:29.7420,361,345,3556,Subscriber,1989,1
659,2019-01-01 09:51:50.2190,2019-01-01 10:02:49.7920,88,80,3684,Subscriber,1988,1
882,2019-01-01 10:03:14.7850,2019-01-01 10:17:57.5840,115,80,4379,Subscriber,1982,1
704,2019-01-01 10:06:09.6320,2019-01-01 10:17:54.4700,197,159,2750,Subscriber,1961,2
1006,2019-01-01 10:06:19.0300,2019-01-01 10:23:05.9930,21,86,3392,Subscriber,1985,1
322,2019-01-01 10:07:10.3340,2019-01-01 10:12:32.5900,110,104,2651,Subscriber,1962,2
679,2019-01-01 10:12:37.4640,2019-01-01 10:23:56.9090,67,116,4449,Subscriber,1995,2
447,2019-01-01 10:12:51.7770,2019-01-01 10:20:19.5410,181,73,3727,Customer,1969,0
1711,2019-01-01 10:26:57.3730,2019-01-01 10:55:28.8330,376,58,2067,Subscriber,1993,2
1448,2019-01-01 10:28:59.6540,2019-01-01 10:53:08.5840,195,115,3620,Subscriber,1987,1
1553,2019-01-01 10:29:15.5430,2019-01-01 10:55:09.0180,338,378,3838,Subscriber,1994,1
466,2019-01-01 10:31:36.6710,2019-01-01 10:39:22.8200,51,12,2647,Subscriber,1960,1
953,2019-01-01 10:31:34.4910,2019-01-01 10:47:27.9510,68,36,3329,Subscriber,1993,1
1142,2019-01-01 10:31:55.9630,2019-01-01 10:50:58.9210,66,87,3981,Subscriber,1997,1
2668,2019-01-01 10:38:17.9480,2019-01-01 11:22:46.3410,10,10,3870,Subscriber,1956,1
787,2019-01-01 10:45:00.8800,2019-01-01 10:58:08.5390,342,67,3983,Subscriber,1993,2
451,2019-01-01 10:46:59.6250,2019-01-01 10:54:31.2140,87,108,4168,Subscriber,1993,1
4172,2019-01-01 10:48:01.5750,2019-01-01 11:57:33.7200,221,182,2449,Customer,1969,0
4161,2019-01-01 10:48:27.6110,2019-01-01 11:57:49.2140,221,182,2126,Customer,1969,0
1549,2019-01-01 10:49:33.6790,2019-01-01 11:15:22.9710,12,51,2647,Subscriber,1960,1
3935,2019-01-01 10:50:44.5910,2019-01-01 11:56:20.3330,221,182,3020,Customer,1969,0
3822,2019-01-01 10:52:27.2380,2019-01-01 11:56:09.9050,221,182,3515,Customer,1969,0
3704,2019-01-01 10:55:10.8480,2019-01-01 11:56:55.6630,221,182,4479,Customer,1969,0
3658,2019-01-01 10:55:31.1190,2019-01-01 11:56:29.8930,221,182,2712,Customer,1969,0
498,2019-01-01 10:57:14.3690,2019-01-01 11:05:33.1200,180,74,4034,Subscriber,1979,1
443,2019-01-01 10:58:09.4210,2019-01-01 11:05:33.1640,180,74,3839,Subscriber,1974,2
876,2019-01-01 10:58:29.5920,2019-01-01 11:13:06.0580,118,74,3906,Subscriber,1995,2
394,2019-01-01 11:02:28.4780,2019-01-01 11:09:02.9270,338,41,2745,Subscriber,1990,1
2495,2019-01-01 11:03:16.5450,2019-01-01 11:44:52.0940,67,17,3894,Customer,1969,0
