Id,Number,Name,Latitude,Longitude,District,Public,Total docks
149,A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18
378,S32035,191 Beacon St,42.38032335045416,-71.10878612855231,Somerville,Yes,19
330,S32023,30 Dane St,42.38100143038052,-71.10402522613185,Somerville,Yes,15
116,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23
446,B32060,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,Boston,Yes,12
398,M32064,75 Binney St,42.36550728505653,-71.0801375997653,Cambridge,Yes,19
318,M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,Yes,19
107,M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,Yes,19
10,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11
53,B32016,Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384,Boston,Yes,19
79,S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,Somerville,Yes,19
437,M32067,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,Cambridge,Yes,19
400,B32058,Big Papi Station,42.34734473177431,-71.1001680795016,Boston,Yes,19
117,M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909765,Cambridge,Yes,19
61,C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,Yes,19
55,B32018,Boylston St at Massachusetts Ave,42.347265,-71.088088,Boston,Yes,15
225,M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,Cambridge,Yes,19
96,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
95,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17
68,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
71,S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,Yes,23
139,M32030,Dana Park,42.361780439606044,-71.10809952020645,Cambridge,Yes,19
361,B32037,Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,Boston,Yes,19
70,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,Cambridge,Yes,23
89,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19
73,M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15
74,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19
335,M32055,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Cambridge,Yes,19
108,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17
110,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge,Yes,15
87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15
104,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19
97,M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,Cambridge,Yes,19
381,M32062,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,Cambridge,Yes,19
