Id,Number,Name,Latitude,Longitude,District,Public,Total docks
,K32015,1200 Beacon St,42.34414899,-71.11467361,Brookline,Yes,15
,W32006,160 Arsenal,42.36466403,-71.17569387,Watertown,Yes,11
149,A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18
378,S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,Yes,19
,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17
330,S32023,30 Dane St,42.38100143,-71.10402523,Somerville,Yes,15
116,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23
,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18
,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18
,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19
333,M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,Yes,24
387,V32001,7 Acre Park,42.41143223,-71.06823265,Everett,Yes,15
446,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16
371,M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,Yes,19
398,M32064,75 Binney St,42.36550729,-71.0801376,Cambridge,Yes,19
319,M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,25
,H32006,855 Broadway,42.39841773,-71.02390923,Chelsea,Yes,11
,M32073,955 Mass Ave,42.36895181,-71.1099878,Cambridge,Yes,19
,C32098,Adams Branch Library,42.286011,-71.054689,Boston,Yes,15
410,C32065,Adams St at Lonsdale St,42.29167943,-71.05726346,Boston,Yes,15
214,A32032,Airport T Stop - Bremen St at Brooks St,42.37411061,-71.03277211,Boston,Yes,11
385,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15
183,M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,Yes,17
142,M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23
,C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Boston,Yes,15
,C32101,American Legion Hwy at Hyde Park Ave,42.27265394,-71.11990392,Boston,Yes,19
318,M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,Yes,19
107,M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,Yes,19
